taz_id,observed_days,total_chargers,station_count,missing_capacity_values,nonpositive_capacity_values,mean_daily_duration_per_charger,mean_daily_occupancy_per_charger
1000,181,194,14,0,0,5.143779309297336,6.051204647718859
1009,181,207,11,0,0,4.641179793774076,5.966517201804255
1011,181,332,41,0,0,3.947151867137056,5.931821207481861
1015,181,96,4,0,0,3.6566432627378758,4.314082642725599
102,181,30,4,0,0,6.882013505217925,11.366298342541437
1026,181,77,5,0,0,7.859175814976919,8.956375116596112
1029,181,36,1,0,0,4.48336146920401,19.701043585021484
1031,181,151,7,0,0,5.126422377520032,6.4799129193955585
104,181,19,3,0,0,1.3656828535426957,1.511340505961035
1043,181,68,6,0,0,4.244393890152746,7.005646733831655
1049,181,200,4,0,0,8.467668047882135,8.960635359116022
105,181,93,12,0,0,2.4342511732905594,4.586853205013961
106,181,96,6,0,0,2.983027355739717,12.289968922651934
1060,181,40,5,0,0,1.2111302946592997,1.4305939226519337
1061,181,99,11,0,0,3.2825352977286673,4.092583291478319
1062,181,102,11,0,0,2.4989528039576783,3.87777597226736
1066,181,40,8,0,0,3.9990791896869236,4.567472375690608
1067,181,49,4,0,0,6.5022926297590855,8.07001916788815
1068,181,227,16,0,0,4.734181939137278,6.786562659722053
107,181,88,11,0,0,2.7795025531558673,4.694845554997489
1071,181,72,2,0,0,7.60134029056681,9.415438919582565
1072,181,67,6,0,0,3.1427393419642113,5.084439680052775
1074,181,62,7,0,0,3.7868175607437764,4.322714311174479
1075,181,16,1,0,0,7.476663213627992,7.692334254143646
1076,181,42,5,0,0,3.3188853810400767,3.7209944751381214
108,181,33,5,0,0,6.458842569339806,8.180981081533568
1081,181,47,4,0,0,3.5619000039183413,4.310685317973434
1082,181,21,2,0,0,3.5942076646496526,6.049460668245199
1083,181,44,2,0,0,7.455120960991126,8.035283776996485
1085,181,59,5,0,0,5.550090520335861,6.723897368667479
1087,181,70,8,0,0,3.6902986056300966,4.430031570639305
1088,181,69,5,0,0,3.1837683828435686,4.130074465529667
109,181,39,5,0,0,3.2813547716862623,5.238489871086556
1090,181,34,1,0,0,3.087043657241902,4.180857978550536
1092,181,24,1,0,0,2.4469191221608346,2.949585635359116
1094,181,18,2,0,0,6.5884233681195,6.683855125844077
1095,181,29,5,0,0,5.054105543913125,5.968374928557821
1096,181,70,9,0,0,2.4185937911076025,3.262865035516969
1098,181,60,7,0,0,4.794267955801104,10.337845303867404
1099,181,18,1,0,0,4.694597912829956,5.507980356046654
110,181,69,11,0,0,1.5380134518376165,3.6461285931619827
1100,181,69,7,0,0,5.32841567245843,5.863119545199776
1102,181,104,14,0,0,3.3842479458846855,4.120909477263068
1104,181,27,3,0,0,2.044420571584475,2.8648455084919173
1106,181,22,8,0,0,2.391281600535743,3.974008036162732
1107,181,12,4,0,0,2.6312922038060145,2.924953959484346
1109,181,56,10,0,0,1.4947300052617722,2.0861286503551697
111,181,85,11,0,0,2.986653666991658,5.004029899252519
1110,181,33,5,0,0,2.106967464702271,5.030637870416876
1111,181,59,7,0,0,4.815970596497799,5.602959078565409
1112,181,18,1,0,0,3.2698741559238793,4.461325966850829
1113,181,55,9,0,0,1.5329817512137949,2.5477147162230036
1114,181,45,6,0,0,1.3739717618170653,1.3893799877225292
1115,181,62,5,0,0,4.424307907087268,5.655810016039922
1119,181,93,8,0,0,3.5603625814372557,4.238727499554447
1120,181,91,10,0,0,2.4715763058304487,4.1718171331431
1121,181,37,5,0,0,6.391493703648399,7.016201284157086
1124,181,61,5,0,0,3.898839175195483,10.968481115840955
1125,181,10,2,0,0,1.8171270718232033,3.781767955801105
1126,181,24,2,0,0,4.677582105586248,6.39030847145488
1130,181,14,3,0,0,0.5876742962378319,2.4674427782162587
1134,181,58,8,0,0,1.8917889121737466,3.189274147456658
1135,181,48,6,0,0,0.9735075199508897,3.617691068139963
1137,181,130,12,0,0,5.0751912452188686,6.966914577135572
1138,181,16,3,0,0,1.497813075506445,2.7715814917127073
1143,181,26,3,0,0,2.0892654766964154,3.018487037824054
1144,181,68,7,0,0,3.100158433539161,4.716850828729282
1149,181,48,4,0,0,5.691710788827501,7.127302025782689
115,181,23,2,0,0,0.9719753382977016,2.1288734085995675
1154,181,22,3,0,0,2.2617821865059424,3.723631341034656
1156,181,30,5,0,0,3.0993707796193974,5.501657458563535
1159,181,114,9,0,0,3.882475525831152,6.009111175729379
1162,181,22,2,0,0,5.70879373848987,6.191863385233551
1163,181,18,2,0,0,2.463960507468794,2.7829957028852057
1164,181,88,13,0,0,7.174681901891845,8.876192867905575
1166,181,82,8,0,0,4.973807438350626,6.871782778601267
1167,181,373,19,0,0,7.927085647702418,8.834609630737784
1168,181,43,6,0,0,4.130155467043556,4.598291147372478
1172,181,9,2,0,0,3.7698485778596265,8.351749539594843
1173,181,38,7,0,0,4.481183968207811,5.826257633032858
123,181,28,3,0,0,2.1489246250986573,4.813831886345699
124,181,56,5,0,0,3.0172980794527744,3.7545876085240724
202,181,57,9,0,0,2.2627701851313358,3.0524377241446157
204,181,57,8,0,0,2.48752867435624,3.806775225356208
205,181,45,3,0,0,1.54317577245754,2.5258440761203196
206,181,127,8,0,0,2.988127347341251,4.202418758428677
208,181,13,2,0,0,6.347712140529819,7.2885677858053555
212,181,27,4,0,0,1.351169770138462,1.6502967055453244
213,181,74,11,0,0,2.8620028868647647,4.1393161116918025
214,181,9,2,0,0,1.5370370370370363,3.100061387354205
215,181,52,2,0,0,1.9181806913160502,2.7372503187420314
216,181,24,3,0,0,5.58360190300798,6.665055248618785
217,181,129,10,0,0,5.205387097234714,5.822968863762902
223,181,187,16,0,0,4.876709900434307,5.979761869589623
224,181,133,21,0,0,3.246354837369667,4.501890084326839
225,181,20,4,0,0,2.196731123388581,2.5255524861878453
226,181,72,8,0,0,3.948261970534069,4.947398710865562
227,181,73,7,0,0,7.53769015363657,9.062249299931885
235,181,43,8,0,0,5.800216283352605,8.491134523962481
307,181,169,15,0,0,5.334038924667909,6.216009022851352
309,181,136,9,0,0,1.591624011483046,4.980622359441014
310,181,10,1,0,0,3.647053406998157,5.170718232044199
