city_code,dataset_role,variable,missing_count,missing_percent
AMS,training_candidate,time,0,0.0
AMS,training_candidate,temp,0,0.0
AMS,training_candidate,feelslike,0,0.0
AMS,training_candidate,humidity,0,0.0
AMS,training_candidate,dew,0,0.0
AMS,training_candidate,precip,0,0.0
AMS,training_candidate,snow,0,0.0
AMS,training_candidate,snowdepth,0,0.0
AMS,training_candidate,preciptype,3968,90.34608378870674
AMS,training_candidate,windgust,0,0.0
AMS,training_candidate,windspeed,0,0.0
AMS,training_candidate,winddir,0,0.0
AMS,training_candidate,pressure,0,0.0
AMS,training_candidate,visibility,0,0.0
AMS,training_candidate,cloudcover,0,0.0
AMS,training_candidate,solarradiation,0,0.0
AMS,training_candidate,solarenergy,0,0.0
AMS,training_candidate,uvindex,0,0.0
AMS,training_candidate,conditions,0,0.0
JHB,training_candidate,time,0,0.0
JHB,training_candidate,temp,0,0.0
JHB,training_candidate,feelslike,0,0.0
JHB,training_candidate,humidity,0,0.0
JHB,training_candidate,dew,0,0.0
JHB,training_candidate,precip,0,0.0
JHB,training_candidate,snow,0,0.0
JHB,training_candidate,snowdepth,0,0.0
JHB,training_candidate,preciptype,4354,99.13479052823315
JHB,training_candidate,windgust,0,0.0
JHB,training_candidate,windspeed,0,0.0
JHB,training_candidate,winddir,0,0.0
JHB,training_candidate,pressure,0,0.0
JHB,training_candidate,visibility,0,0.0
JHB,training_candidate,cloudcover,0,0.0
JHB,training_candidate,solarradiation,0,0.0
JHB,training_candidate,solarenergy,0,0.0
JHB,training_candidate,uvindex,0,0.0
JHB,training_candidate,conditions,0,0.0
LOA,training_candidate,time,0,0.0
LOA,training_candidate,temp,0,0.0
LOA,training_candidate,feelslike,0,0.0
LOA,training_candidate,humidity,0,0.0
LOA,training_candidate,dew,0,0.0
LOA,training_candidate,precip,0,0.0
LOA,training_candidate,snow,0,0.0
LOA,training_candidate,snowdepth,0,0.0
LOA,training_candidate,preciptype,4321,98.38342440801458
LOA,training_candidate,windgust,0,0.0
LOA,training_candidate,windspeed,0,0.0
LOA,training_candidate,winddir,0,0.0
LOA,training_candidate,pressure,0,0.0
LOA,training_candidate,visibility,0,0.0
LOA,training_candidate,cloudcover,0,0.0
LOA,training_candidate,solarradiation,0,0.0
LOA,training_candidate,solarenergy,0,0.0
LOA,training_candidate,uvindex,0,0.0
LOA,training_candidate,conditions,0,0.0
MEL,training_candidate,time,0,0.0
MEL,training_candidate,temp,0,0.0
MEL,training_candidate,feelslike,0,0.0
MEL,training_candidate,humidity,0,0.0
MEL,training_candidate,dew,0,0.0
MEL,training_candidate,precip,0,0.0
MEL,training_candidate,snow,0,0.0
MEL,training_candidate,snowdepth,0,0.0
MEL,training_candidate,preciptype,4147,94.4216757741348
MEL,training_candidate,windgust,0,0.0
MEL,training_candidate,windspeed,0,0.0
MEL,training_candidate,winddir,0,0.0
MEL,training_candidate,pressure,0,0.0
MEL,training_candidate,visibility,0,0.0
MEL,training_candidate,cloudcover,0,0.0
MEL,training_candidate,solarradiation,0,0.0
MEL,training_candidate,solarenergy,0,0.0
MEL,training_candidate,uvindex,0,0.0
MEL,training_candidate,conditions,0,0.0
SPO,training_candidate,time,0,0.0
SPO,training_candidate,temp,0,0.0
SPO,training_candidate,feelslike,0,0.0
SPO,training_candidate,humidity,0,0.0
SPO,training_candidate,dew,0,0.0
SPO,training_candidate,precip,0,0.0
SPO,training_candidate,snow,0,0.0
SPO,training_candidate,snowdepth,0,0.0
SPO,training_candidate,preciptype,4341,98.83879781420765
SPO,training_candidate,windgust,0,0.0
SPO,training_candidate,windspeed,0,0.0
SPO,training_candidate,winddir,0,0.0
SPO,training_candidate,pressure,0,0.0
SPO,training_candidate,visibility,0,0.0
SPO,training_candidate,cloudcover,0,0.0
SPO,training_candidate,solarradiation,0,0.0
SPO,training_candidate,solarenergy,0,0.0
SPO,training_candidate,uvindex,0,0.0
SPO,training_candidate,conditions,0,0.0
SZH,external_only,time,0,0.0
SZH,external_only,temp,0,0.0
SZH,external_only,feelslike,0,0.0
SZH,external_only,humidity,0,0.0
SZH,external_only,dew,0,0.0
SZH,external_only,precip,0,0.0
SZH,external_only,snow,0,0.0
SZH,external_only,snowdepth,0,0.0
SZH,external_only,preciptype,3977,90.55100182149363
SZH,external_only,windgust,0,0.0
SZH,external_only,windspeed,0,0.0
SZH,external_only,winddir,0,0.0
SZH,external_only,pressure,0,0.0
SZH,external_only,visibility,0,0.0
SZH,external_only,cloudcover,0,0.0
SZH,external_only,solarradiation,0,0.0
SZH,external_only,solarenergy,0,0.0
SZH,external_only,uvindex,0,0.0
SZH,external_only,conditions,0,0.0
